Método,Tamaño,Tiempo
TimSort,5216,0.007340400014072657
Pigeonhole Sort,5216,0.011616999981924891
BucketSort,5216,0.018403299996862188
Tree Sort,5216,0.10090279998257756
HeapSort,5216,0.14149850001558661
QuickSort,5216,0.1443452000094112
RadixSort,5216,0.21394279997912236
Comb Sort,5216,0.2504158999945503
Bitonic Sort,5216,0.3240456999919843
Binary Insertion Sort,5216,0.485939000005601
Selection Sort,5216,13.354802599991672
Gnome Sort,5216,20.383697299985215
